Road Name	road_id	netw_id	feat_id	feat_type	name	lang_code	netw_geo_id	ferry_type	junction_id_from	junction_id_to	stacked_netw	part_of_structure	urban	back_road	stubble	processing_status	transition	display_class	routing_class	form_of_way	freeway	ramp	carriageway_designator	road_condition	no_through_traffic	rough_road	plural_junction	restricted_access	lez_restriction	toll_restriction	construction_status	demolition_date	simple_traffic_direction	blocked_passage_start	blocked_passage_end	num_of_lanes	speed_category	speedmax_pos	speedmax_neg	speed_dynamic	speed_average_pos	speed_average_neg	average_travel_time_pos	average_travel_time_neg	tourist_route_scenic	tourist_route_national	tourist_route_regional	tourist_route_nature	tourist_route_cultural	no_pedestrian_passage	not_crossable_by_pedestrians	ownership	overtaking_lane	ft_address_area_boundary_element	ft_road_element	ft_ferry_element	ft_railway_element	geometry
Finley Blvd	00005541-4c00-4600-0000-000017e12b02	00005541-4c00-0400-0000-00000009326a	00005541-4c00-0400-0000-00000009326a	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000009326a		00005541-4c00-2800-ffff-ffffd049e18c	00005541-4c00-2800-ffff-ffffd049e19e	false		true	0	false	1		20	1	2	false			1		false							2			4	4	50	50		79		1.2											false	true	false	false	{"type":"LineString","coordinates":[[-86.835275,33.536856],[-86.83553,33.536751]]}
Finley Blvd	00005541-4c00-4600-0000-000017e12b02	00005541-4c00-0400-0000-00000009a702	00005541-4c00-0400-0000-00000009a702	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000009a702		00005541-4c00-2800-ffff-ffffd049e19d	00005541-4c00-2800-ffff-ffffd049e18a	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		79		1.0											false	true	false	false	{"type":"LineString","coordinates":[[-86.835433,33.536614],[-86.835237,33.536706]]}
Finley Blvd	00005541-4c00-4600-0000-000017e12b08	00005541-4c00-0400-0000-00000008ae7c	00005541-4c00-0400-0000-00000008ae7c	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000008ae7c		00005541-4c00-2800-ffff-ffffd049d857	00005541-4c00-2800-ffff-ffffd049d848	false		true	0	false	1		52	4	2	false			1		false							3			3	7	50	50			20		8.3										false	true	false	false	{"type":"LineString","coordinates":[[-86.825225,33.542049],[-86.8248339,33.5423015]]}
Finley Blvd	00005541-4c00-4600-0000-000017e12b08	00005541-4c00-0400-0000-00000008ae93	00005541-4c00-0400-0000-00000008ae93	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000008ae93		00005541-4c00-2800-ffff-ffffd049f8ed	00005541-4c00-2800-ffff-ffffd049d829	false		true	0	false	1		52	4	2	false			1		false							2			3	6	40	40		48		6.8											false	true	false	false	{"type":"LineString","coordinates":[[-86.825159,33.541906],[-86.824829,33.542125],[-86.8243982,33.5424202]]}
Finley Blvd	00005541-4c00-4600-0000-000017e12b08	00005541-4c00-0400-0000-00000009a708	00005541-4c00-0400-0000-00000009a708	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000009a708		00005541-4c00-2800-ffff-ffffd049d848	00005541-4c00-2800-ffff-ffffd049d838	false		true	0	false	1		52	4	2	false			1		false							3			3	6	50	50			31		6.0										false	true	false	false	{"type":"LineString","coordinates":[[-86.8248339,33.5423015],[-86.824403,33.542602]]}
Finley Blvd	00005541-4c00-4600-0000-000017e12b09	00005541-4c00-0400-0000-00000008ae23	00005541-4c00-0400-0000-00000008ae23	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000008ae23		00005541-4c00-2800-ffff-ffffd049d829	00005541-4c00-2800-ffff-ffffd049d837	false		true	0	false	1		52	4	2	false			1		false							2			4	5	40	40		57		3.6											false	true	false	false	{"type":"LineString","coordinates":[[-86.8243982,33.5424202],[-86.823911,33.542741]]}
Finley Blvd	00005541-4c00-4600-0000-000017e12b09	00005541-4c00-0400-0000-00000009a709	00005541-4c00-0400-0000-00000009a709	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000009a709		00005541-4c00-2800-ffff-ffffd049d838	00005541-4c00-2800-ffff-ffffd049d839	false		true	0	false	1		52	4	2	false			1		false							3			3	6	50	50			43		4.3										false	true	false	false	{"type":"LineString","coordinates":[[-86.824403,33.542602],[-86.823967,33.542889]]}
Finley Blvd	00005541-4c00-4600-0000-000017e12b0a	00005541-4c00-0400-0000-00000009901e	00005541-4c00-0400-0000-00000009901e	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000009901e		00005541-4c00-2800-ffff-ffffd049b96f	00005541-4c00-2800-ffff-ffffd049a49f	false		true	0	false	1		52	4	2	false			1		false							2			3	6	40	40		39		3.1											false	true	false	false	{"type":"LineString","coordinates":[[-86.816993,33.545514],[-86.816658,33.545622]]}
Finley Blvd	00005541-4c00-4600-0000-000017e12b0a	00005541-4c00-0400-0000-00000009a70a	00005541-4c00-0400-0000-00000009a70a	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000009a70a		00005541-4c00-2800-ffff-ffffd049d740	00005541-4c00-2800-ffff-ffffd049a990	false		true	0	false	1		52	4	2	false			1		false							3			4	6	50	50			33		5.4										false	true	false	false	{"type":"LineString","coordinates":[[-86.817076,33.545617],[-86.816569,33.54576]]}
Finley Blvd	00005541-4c00-4600-0000-000017e12c23	00005541-4c00-0400-0000-00000008ba06	00005541-4c00-0400-0000-00000008ba06	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000008ba06		00005541-4c00-2800-ffff-ffffd049e240	00005541-4c00-2800-ffff-ffffd049e23f	false		true	0	false	1		20	1	2	false			1		false							3			3	5	50	50			58		7.1										false	true	false	false	{"type":"LineString","coordinates":[[-86.848544,33.530298],[-86.848918,33.530136],[-86.849175,33.530024],[-86.849639,33.529829]]}
